ID	Question	Code	Answer	Explanation	Source	Tags
array-code-001	What is printed?	int[] arr = new int[3];\nSystem.out.println(arr[0]);	`0`	Elements of numeric primitive arrays are initialized to their default value, which is 0.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-002	What is printed?	int[] arr = {1, 2, 3};\nSystem.out.println(arr.length);	`3`	The `length` property returns the size of the array.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-003	What happens when running this code?	int[] arr = {10, 20};\nSystem.out.println(arr[2]);	Throws `ArrayIndexOutOfBoundsException`	The valid indices for a size-2 array are 0 and 1. Index 2 is out of bounds.	07-arrays/terms/01-array-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-004	Is the following assignment valid?	int[] arr;\narr = {1, 2, 3};	No, compile-time error.	The shortcut array initializer syntax `{...}` can only be used during variable declaration. For later assignment, you must write `new int[]{1, 2, 3}`.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-005	What does this code print?	int[] a1 = {1, 2};\nint[] a2 = {1, 2};\nSystem.out.println(a1 == a2);\nSystem.out.println(java.util.Arrays.equals(a1, a2));	`false` then `true`	`==` compares heap references, which are different. `Arrays.equals()` compares the contents, which are identical.	07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-006	What is printed?	int[][] ragged = new int[2][];\nragged[0] = new int[2];\nSystem.out.println(ragged[1]);	`null`	For multidimensional arrays, the inner array reference elements are initialized to `null` until allocated.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-007	What is the output?	int[] arr = {1, 2, 3};\nint[] copy = arr.clone();\ncopy[0] = 9;\nSystem.out.println(arr[0] + " " + copy[0]);	`1 9`	Cloning a 1D primitive array performs a deep copy of elements, so modifying the copy does not affect the original.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-008	What is the output of this code?	int[][] arr = {{1, 2}};\nint[][] copy = arr.clone();\ncopy[0][0] = 9;\nSystem.out.println(arr[0][0]);	`9`	Cloning a multidimensional array performs a shallow copy of sub-array references, meaning the inner arrays are shared. Modifying the copy affects the original.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-009	What is printed?	int[] arr = {10, 20, 30};\nint index = java.util.Arrays.binarySearch(arr, 15);\nSystem.out.println(index);	`-2`	15 is not found. It belongs at index 1 to keep sorting order. The binarySearch returns `-(insertionPoint) - 1`, which is `-(1) - 1 = -2`.	07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-010	Why does this code cause a compilation error?	int[] arr = {1, 2, 3};\nSystem.out.println(arr.length());	You cannot call `length()` on an array.	`length` is a public final field on arrays, not a method, so parentheses are a syntax error.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-011	What is printed?	int[][] mat = new int[2][];\nSystem.out.println(mat[0]);	`null`	Allocating the top-level 2D array only sets up references for rows, which are initialized to default `null`.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
array-code-012	What does this code print?	int[] arr = {1, 2, 3};\nmodify(arr);\nSystem.out.println(arr[0]);\n...\nstatic void modify(int[] a) {\n    a[0] = 100;\n}	`100`	Since references are passed by value, modifications to the array elements inside the method are reflected in the original array.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-013	What does this code print?	int[] arr = {1, 2, 3};\nreassign(arr);\nSystem.out.println(arr[0]);\n...\nstatic void reassign(int[] a) {\n    a = new int[]{100, 200, 300};\n}	`1`	Reassigning the copy of the reference parameter inside a method does not affect the caller's reference.	07-arrays/theory/01-array-basics.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code java::interview
array-code-014	What is printed?	int[] src = {1, 2, 3};\nint[] dest = new int[3];\nSystem.arraycopy(src, 1, dest, 0, 2);\nSystem.out.println(dest[0] + " " + dest[1]);	`2 3`	System.arraycopy copies 2 elements starting from index 1 of `src` (`2`, `3`) to index 0 of `dest`.	07-arrays/theory/02-array-operations.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/arrays.html	java::core::arrays java::code
