ID	Question	Code	Answer	Explanation	Source	Tags
overview-code-001	What command compiles this Java file?	"public class HelloWorld {\n    public static void main(String[] args) {\n        System.out.println(""Hello Java"");\n    }\n}"	`javac HelloWorld.java`	The public class is `HelloWorld`, so the source file should be `HelloWorld.java`, and `javac` compiles it into bytecode.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-002	After compiling this file successfully, what class file should exist?	"public class HelloWorld {\n    public static void main(String[] args) {\n        System.out.println(""Hello Java"");\n    }\n}"	`HelloWorld.class`	Compilation turns the `.java` source file into a `.class` bytecode file.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-003	What command runs the compiled class from this source?	"public class HelloWorld {\n    public static void main(String[] args) {\n        System.out.println(""Hello Java"");\n    }\n}"	`java HelloWorld`	The `java` command receives the class name, not `HelloWorld.java` or `HelloWorld.class`.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-004	Is this a compile-time error or runtime error?	"int age = ""eighteen"";"	Compile-time error	The compiler can detect that a `String` cannot be assigned to an `int`.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-005	Is this a compile-time error or runtime error?	int result = 10 / 0;	Runtime error	The code can compile, but integer division by zero fails when the statement executes.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-006	What may happen to the original String object after this assignment?	"String text = new String(""Java"");\ntext = null;"	It may become eligible for Garbage Collection if no other references point to it.	`text = null` removes one reference. It does not force immediate Garbage Collection.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code java::interview
overview-code-007	Which part of this example is the class, and which part is an object blueprint?	"class Student {\n    String name;\n\n    void study() {\n        System.out.println(name + "" is studying"");\n    }\n}"	`Student` is the class, and the whole class declaration is the blueprint for Student objects.	A class describes the data and behavior that objects created from it can have.	01-overview/theory/01-what-is-java.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code java::core::oop
overview-code-008	Which command checks the Java runtime version?	java -version	`java -version`	This checks the runtime command, not the compiler.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-009	Which command checks the Java compiler version?	javac -version	`javac -version`	If this command is missing, the JDK may not be installed or may not be on PATH.	01-overview/theory/02-jvm-jre-jdk.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-code-010	What is wrong with trying to run this source file using `java HelloWorld.java` in the beginner compile/run flow?	javac HelloWorld.java\njava HelloWorld.java	The normal beginner flow is `javac HelloWorld.java` then `java HelloWorld`.	After compiling, `java` usually receives the class name, not the source file name.	01-overview/theory/03-compile-runtime-flow.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::code
overview-term-code-bytecode-command	What term describes the content of the file produced by this command?	javac HelloWorld.java	Bytecode	The command produces `HelloWorld.class`, and `.class` files contain JVM bytecode.	01-overview/terms/01-runtime-terms.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::term java::code
overview-term-code-runtime-error	Does this example fail at compile time or runtime?	int result = 10 / 0;	Runtime	The code can compile, but it fails when the program executes the division.	01-overview/terms/01-runtime-terms.md | https://docs.oracle.com/javase/tutorial/getStarted/intro/definition.html	java::core::overview java::term java::code
