ID	Question	Code	Answer	Explanation	Source	Tags
var-code-001	Why does this not compile?	public void demo() {\n    int x;\n    System.out.println(x);\n}	`x` is a local variable used before assignment.	Local variables do not receive usable default values and must be assigned before reading.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-002	Are `a.name` and `b.name` shared here?	"Student a = new Student();\nStudent b = new Student();\na.name = ""Alice"";\nb.name = ""Bob"";"	No. They are separate instance variable values.	Instance variables belong to individual objects.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-003	What kind of variable is `count`?	class Counter {\n    static int count;\n}	Static variable	It belongs to the class, not an individual object.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-004	Why does this not compile?	final int maxScore = 100;\nmaxScore = 90;	`maxScore` is final and cannot be reassigned.	Final variables can be assigned only once.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-005	Why is `append` allowed here?	"final StringBuilder builder = new StringBuilder(""Java"");\nbuilder.append("" Core"");"	`final` prevents reassigning `builder`, not mutating the object.	The reference stays the same, but the object is mutable.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code java::interview
var-code-006	What naming convention is used here?	public static final int MAX_RETRY_COUNT = 3;	UPPER_SNAKE_CASE for a constant	Java constants are commonly `static final` and named in UPPER_SNAKE_CASE.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-007	Why can the last line not compile?	if (true) {\n    int inner = 20;\n}\nSystem.out.println(inner);	`inner` is outside its scope.	It was declared inside the `if` block.	04-variables-constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-008	What is the inferred type of `name`?	"var name = ""Alice"";"	`String`	The compiler infers the type from the initializer.	04-variables-constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-009	Why does this not compile?	var x;	`var` requires an initializer.	The compiler cannot infer a type without an initializer.	04-variables-constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-010	Why does this not compile?	"var age = 18;\nage = ""eighteen"";"	`age` was inferred as `int`.	`var` does not make Java dynamically typed.	04-variables-constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code java::interview
var-code-011	Why is this field invalid?	"class Demo {\n    var name = ""Alice"";\n}"	`var` cannot be used for fields.	`var` is only for local variable type inference.	04-variables-constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-012	What is wrong with this magic number style?	if (retryCount > 3) {\n    stopRetrying();\n}	`3` has no name explaining its meaning.	A constant such as `MAX_RETRY_COUNT` communicates intent.	04-variables-constants/terms/01-variable-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-013	Does this compile? What is the output?	class Student {\n    static String school;\n}\n\nStudent a = new Student();\nStudent b = new Student();\nStudent.school = "JavaHigh";\na.school = "OpenU";\nSystem.out.println(b.school);	Compiles. Output: OpenU	`school` is a static field shared by the class. Assigning it through any reference (including `a.school`) changes the one shared value. `b.school` reads the same single variable.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code java::interview
var-code-014	Does this compile?	public String greet(boolean formal) {\n    String message;\n    if (formal) {\n        message = "Good morning.";\n    }\n    return message;\n}	Compile error: variable message might not have been initialized	The compiler performs definite assignment analysis: it checks ALL possible paths. When `formal` is false the `else` branch is missing, so `message` is unread on that path. This is a compile-time check, not a runtime check.	04-variables-constants/theory/01-variable-categories.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code java::interview
var-code-015	Does this compile?	public class Circle {\n    final double radius;\n    public Circle(double r) {\n        radius = r;\n    }\n}	Compiles	This is the blank-final pattern. A `final` field does not need an initializer at declaration, but it must be assigned exactly once in every constructor path. Because the single constructor always assigns `radius`, it compiles.	04-variables-constants/theory/02-final-and-constants.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-016	Does this compile?	var y = null;	Compile error: cannot infer type for local variable y	`var` requires the compiler to infer a concrete type from the initializer. `null` has no type on its own, so the compiler cannot determine what type `y` should be. Fix: use an explicit type, e.g., `String y = null;`.	04-variables-constants/theory/04-var-type-inference.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
var-code-017	Does this compile? Why or why not?	public void run() {\n    for (int i = 0; i < 5; i++) {\n        System.out.println(i);\n    }\n    System.out.println(i);\n}	Compile error: cannot find symbol — variable i	`i` is declared inside the `for` loop header, so its scope ends when the loop ends. To access `i` after the loop, declare it in the enclosing method scope: `int i; for (i = 0; i < 5; i++) { ... }`.	04-variables-constants/theory/03-default-scope-lifetime.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/variables.html	java::core::variables java::code
