ID	Text	Extra	Source	Tags
regex-cloze-001	In Regular Expression, {{c1::What is Regex?}} refers to: A pattern language for matching, searching, and manipulating text, natively supported in Java via the `java.util.regex` package.	Why it matters: Enables powerful, compact string validation and data extraction without writing complex character-scanning state loops. Gotcha: Using regex for simple tasks where standard string methods like `indexOf()`, `startsWith()`, or `contains()` are faster and clearer. Details: The Java regex engine compiles pattern strings into a finite state automaton to perform matching at runtime.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-002	In Regular Expression, {{c1::Pattern}} refers to: The compiled, immutable, and thread-safe representation of a regular expression, created via `Pattern.compile(regex)`.	Why it matters: Compiling a regular expression string into a state machine is computationally expensive, so caching the `Pattern` instance is vital. Gotcha: Re-compiling a regex pattern inside a frequently executed method or loop instead of caching it in a static final field. Details: Pattern instances are thread-safe and reusable across multiple threads. They accept flags like `CASE_INSENSITIVE` or `DOTALL`.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-003	In Regular Expression, {{c1::Matcher}} refers to: A stateful, thread-unsafe engine that performs match operations on a character sequence by interpreting a compiled `Pattern`.	Why it matters: Maintains the state of search progress, matches boundaries, and capturing group values during iteration. Gotcha: Sharing a single `Matcher` instance among multiple threads concurrently, leading to race conditions on match states. Details: Matcher instances keep track of matching offsets (`start()`, `end()`) and the last match state. They are created via `pattern.matcher(input)`.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-004	In Regular Expression, {{c1::matches}} refers to: A method on `Matcher` and `String` that returns true only if the entire input sequence matches the regular expression pattern.	Why it matters: Essential for strict full-string format validation, such as checking if a string conforms to a phone number or email structure. Gotcha: Confusing `Matcher.matches()` with `Matcher.find()`. `matches()` checks the whole string, while `find()` searches for a substring. Details: Implicitly anchors the expression at the beginning and the end. Under the hood, `String.matches()` compiles a new pattern each time.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-005	In Regular Expression, {{c1::find}} refers to: A method on `Matcher` that scans the input sequence looking for the next subsequence that matches the pattern.	Why it matters: Enables iterative extraction of multiple occurrences of matching text from a large document. Gotcha: Calling `find()` in a loop but forgetting to check its return value, or calling it multiple times in a loop body and skipping matches. Details: Advances the match pointer on success. Calling `reset()` restarts the match pointer at the beginning of the input sequence.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-006	In Regular Expression, {{c1::group}} refers to: A method on `Matcher` that returns the subsequence matched by the previous match operation. `group(0)` is the entire match, and `group(n)` is the n-th capturing group.	Why it matters: Allows extraction of specific dynamic parameters or subsections of a matched string (like hostnames or values). Gotcha: Calling `matcher.group()` before calling `find()`, `matches()`, or `lookingAt()`, which throws `IllegalStateException`. Details: Group numbers are counted by opening parentheses from left to right. If a capturing group did not participate in the match, it returns `null`.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-007	In Regular Expression, {{c1::Character classes}} refers to: Brackets `[...]` or predefined shortcuts (like `\d`, `\w`, `\s`) that define a set of characters that can match a single position.	Why it matters: Allows validation of character variations (e.g. matching only digits, hex values, vowels, or punctuation). Gotcha: Forgetting to double-escape predefined character classes in Java string literals (e.g. using `"\d"` instead of `"\\d"`). Details: Supports nested operations: union `[a-z0-9]`, range `[a-z]`, negation `[^abc]`, and intersection `[a-z&&[aeiou]]`.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-008	In Regular Expression, {{c1::Quantifiers}} refers to: Symbols indicating repetition bounds of the preceding token: greedy (default), reluctant (lazy), and possessive (no backtracking).	Why it matters: Defines matching bounds (e.g. matching any number of spaces) and controls the backtracking behavior of the regex engine. Gotcha: Using greedy quantifiers when reluctant quantifiers are needed, which consumes more characters than intended (over-matching). Details: Greedy quantifiers (e.g. `*`) match maximum and backtrack. Reluctant quantifiers (e.g. `*?`) match minimum and expand. Possessive quantifiers (e.g. `*+`) match maximum and never backtrack.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-009	In Regular Expression, {{c1::Capturing group}} refers to: Parenthesized subpatterns `(...)` that save matched substrings in memory for extraction, backreferences (`\1`), or replacement references (`$1`).	Why it matters: Enables complex search-and-replace transformations and validation of matching pairs (like HTML tags). Gotcha: Using capturing groups `(...)` solely for logical grouping (e.g. `(a|b)`) instead of non-capturing groups, causing memory overhead. Details: Capturing groups are numbered from 1 based on their opening parenthesis index. Can be referenced inside the regex pattern using backreferences.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-010	In Regular Expression, {{c1::Non-capturing group}} refers to: A grouping construct `(?:pattern)` that groups options together without capturing the matched subsequence in memory.	Why it matters: Saves memory allocations and prevents pollution of capturing group index numbers. Gotcha: Using capturing groups when only logical grouping is needed for quantifiers or alternation. Details: Tells the engine to treat the subexpression as a single unit (e.g. `(?:https?|ftp)`) without allocating a group index for it.	30-regex/theory/01-what-is-regex-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-011	In Regular Expression, {{c1::Basic lookahead / lookbehind}} refers to: Zero-width assertions that check characters ahead (`(?=...)`, `(?!...)`) or behind (`(?<=...)`, `(?<!...)`) the current index without consuming them.	Why it matters: Enables complex validation contexts (like checking that digits are preceded by a currency sign) without moving the match cursor. Gotcha: Using unbounded quantifiers like `*` or `+` inside lookbehinds, which throws a `PatternSyntaxException` in Java. Details: Lookbehinds in Java must have a determined maximum length at compile time. Lookaheads have no length restrictions.	30-regex/theory/02-basic-lookahead-lookbehind-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-012	In Regular Expression, {{c1::Validate email, phone, password}} refers to: Format verification methods using regex patterns. Passwords leverage multiple lookaheads, while emails/phones check formats.	Why it matters: Allows input checking on client and server sides before persisting database entries or initiating calls. Gotcha: Attempting to write a 100% compliant RFC 5322 email regex, which is extremely complex, unmaintainable, and prone to ReDoS. Details: Password regex uses positive lookaheads starting at `^` to check digits, uppercase, and special chars independently before verifying length.	30-regex/theory/02-basic-lookahead-lookbehind-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-013	In Regular Expression, {{c1::Replace using regex}} refers to: Replacing matched text in string instances using `replaceAll()`, `replaceFirst()`, or dynamic loops with `appendReplacement()`.	Why it matters: Allows bulk parsing, text conversions, and format changes (like converting names or formatting currency). Gotcha: Confusing `String.replaceAll(regex, repl)` with `String.replace(literal, repl)`. `replace()` performs a literal match. Details: Backreferences like `$1` can be specified in replacement parameters to reference capturing group values. Java strings are immutable, so a new string is always returned.	30-regex/theory/02-basic-lookahead-lookbehind-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
regex-cloze-014	In Regular Expression, {{c1::Split using regex}} refers to: Splitting a string around matches of a regular expression using `String.split()`. Trailing empty fields are discarded by default.	Why it matters: Crucial for parsing CSV or delimited data records where trailing empty columns must be either trimmed or preserved. Gotcha: Splitting on regex special characters (like `.`, `|`, `?`) without escaping them (e.g. using `split(".")` instead of `split("\\.")`). Details: The `limit` parameter controls split behavior: `limit < 0` matches as many times as possible and preserves all trailing empty fields.	30-regex/theory/02-basic-lookahead-lookbehind-concepts.md | https://docs.oracle.com/javase/tutorial/essential/regex/	java::core::regex
