ID	Front	Back	Extra	Source	Tags
nio-extra-001	Explain `Path` deeply enough for review.	`Path` is a Java NIO.2 interface representing a hierarchical path to a file or directory. Unlike `java.io.File`, it is file-system independent and supports rich manipulation.	Path manipulation methods (like `resolve`, `relativize`, `normalize`) are logical memory operations. Example:\n`Path p = Path.of("/a/b").resolve("c"); // logical resolution, doesn\'t check if file /a/b/c exists`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-002	What confusion should you avoid with `Path`?	Do not assume `Path` operations check the filesystem or require the file to exist.	Methods like `resolve()`, `relativize()`, and `normalize()` are purely string/syntactic manipulations. For filesystem checks, you must pass the `Path` to `Files` methods (e.g., `Files.exists(path)`).	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-003	Explain `Paths` deeply enough for review.	`Paths` is a utility factory class containing static `Paths.get()` methods to obtain a `Path`.	Since Java 11, `Path.of()` is preferred over `Paths.get()` as it is more direct. Example:\n`Path p1 = Path.of("config.txt"); // Preferred`\n`Path p2 = Paths.get("config.txt"); // Legacy`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-004	Explain `Files` deeply enough for review.	`Files` is a utility class containing static methods that perform physical filesystem operations on `Path` instances.	Most `Files` methods throw `IOException` (checked) and require proper handling. Example:\n`try {`\n`    Files.createFile(Path.of("test.txt"));`\n`} catch (IOException e) { ... }`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-005	What confusion should you avoid with `Files`?	Stream-returning methods like `Files.lines()`, `Files.walk()`, and `Files.list()` must be closed.	These methods wrap native directory streams/file descriptors. If not closed via try-with-resources, they leak file handles: `try (Stream<String> lines = Files.lines(path)) { lines.forEach(System.out::println); }`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-006	Explain `StandardOpenOption` deeply enough for review.	An enum representing options for opening files, passed to `Files.newBufferedWriter`, `FileChannel.open`, etc.	Common options: `CREATE` (creates if missing), `CREATE_NEW` (fails if exists), `TRUNCATE_EXISTING` (zeros file), `APPEND` (writes to end), `READ`, `WRITE`. Example:\n`Files.writeString(path, "data", StandardOpenOption.CREATE, StandardOpenOption.APPEND);`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-007	Explain `Read/write file using Files` deeply enough for review.	Methods like `Files.readAllLines()` and `Files.write()` make file read/write operations simple.	`Files.readAllLines()` loads the entire file into JVM heap. For large files, always use `Files.lines()` which streams lazily: `try (Stream<String> lines = Files.lines(path)) { lines.filter(s -> s.contains("ERR")).forEach(System.out::println); }`	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-008	Explain `Walk file tree` deeply enough for review.	Recursively traverses directory structures in a depth-first search (DFS).	`Files.walk(path, depth)` returns a lazy stream of `Path` objects. `Files.walkFileTree(path, fileVisitor)` offers precise callbacks for directory entry and exit events. Remember to use try-with-resources with `Files.walk()`.	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-009	Explain `Copy/move/delete file` deeply enough for review.	Filesystem operations like copying, moving, and deleting files/directories using `Files` utility.	`Files.move()` or `copy()` can take copy options like `REPLACE_EXISTING`. `Files.delete()` throws `NoSuchFileException` if missing; use `Files.deleteIfExists(path)` to avoid this exception.	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
nio-extra-010	Explain `Channel` deeply enough for review.	A bidirectional, low-overhead conduit for high-performance block data transfer.	Unlike standard I/O streams (which are unidirectional and byte-oriented), a channel reads directly into a buffer or writes from a buffer. File channels are synchronous and block; socket channels can be configured as non-blocking.	27-nio/theory/01-path-concepts.md | https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/nio/package-summary.html	java::core::nio
