ID	Question	Code	Answer	Explanation	Source	Tags
operator-code-001	What is printed?	System.out.println(7 / 3);	`2`	Both operands are integers, so Java performs integer division.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-002	What is printed?	double x = 10 / 4;\nSystem.out.println(x);	`2.0`	The expression `10 / 4` is integer division before assignment to `double`.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-003	What is printed?	double x = 10 / 4.0;\nSystem.out.println(x);	`2.5`	One operand is floating-point, so Java uses floating-point division.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-004	What is printed?	System.out.println(17 % 5);	`2`	`17 = 5 * 3 + 2`, so the remainder is `2`.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-005	What is printed?	System.out.println("Result: " + 2 + 3);	`Result: 23`	Evaluation is left-to-right; after `"Result: " + 2`, the next `+` is string concatenation.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-006	What is printed?	System.out.println("Result: " + (2 + 3));	`Result: 5`	Parentheses force arithmetic before string concatenation.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-007	Why does the second assignment not compile?	byte b = 1;\nb = b + 1;	`b + 1` is promoted to `int`.	Assigning an `int` result to `byte` requires an explicit cast.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code java::interview
operator-code-008	Why does this compile?	byte b = 1;\nb += 1;	Compound assignment includes an implicit cast back to `byte`.	This is a special rule for compound assignment.	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code java::interview
operator-code-009	What is printed?	String a = new String("Java");\nString b = new String("Java");\nSystem.out.println(a == b);	`false`	`==` compares object references, and these are two different objects.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-010	What is printed?	String a = new String("Java");\nString b = new String("Java");\nSystem.out.println(a.equals(b));	`true`	`.equals()` compares the string content.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-011	Why is this condition safe?	if (user != null && user.isActive()) {\n    System.out.println("active");\n}	`&&` short-circuits when `user != null` is false.	Java skips `user.isActive()` when `user` is null, preventing a `NullPointerException`.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-012	Why can this condition be unsafe?	if (user != null & user.isActive()) {\n    System.out.println("active");\n}	`&` evaluates both sides.	If `user` is null, Java still calls `user.isActive()`.	05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code java::interview
operator-code-013	What is printed?	int x = 5;\nint y = x++;\nSystem.out.println(x + "," + y);	`6,5`	Postfix uses the old value for `y`, then increments `x`.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-014	What is printed?	int x = 5;\nint y = ++x;\nSystem.out.println(x + "," + y);	`6,6`	Prefix increments first, then uses the new value.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-015	What is printed?	int x = 0;\nboolean ok = true || x++ > 0;\nSystem.out.println(x);	`0`	The right side of `||` is skipped because the left side is true.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code java::interview
operator-code-016	What is printed?	int age = 17;\nString label = age >= 18 ? "adult" : "minor";\nSystem.out.println(label);	`minor`	The condition is false, so the ternary expression chooses the second value.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-017	What is printed?	Object value = "Java";\nif (value instanceof String text) {\n    System.out.println(text.toLowerCase());\n}	`java`	Pattern matching creates `text` as a `String` inside the true branch.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-018	What is printed?	String name = null;\nSystem.out.println(name instanceof String);	`false`	`null` is not an instance of any type.	05-operators/theory/03-bitwise-increment-ternary-instanceof.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-019	What is printed?	System.out.println(2 + 3 * 4);	`14`	Multiplication has higher precedence than addition.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-020	What is printed?	System.out.println((2 + 3) * 4);	`20`	Parentheses force addition before multiplication.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-021	What is printed?	int x = 0;\nboolean result = false && ++x > 0;\nSystem.out.println(x);	`0`	The right side of `&&` is skipped because the left side is false.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operator-code-022	What is printed?	int a;\nint b;\na = b = 10;\nSystem.out.println(a + b);	`20`	Assignment associates right-to-left: `b = 10`, then `a = 10`.	05-operators/theory/04-precedence-short-circuit.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operators-aug-code-001	When reviewing `>=`, what should you prove with a tiny Java example?	// Concept: >=\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass ConceptReview {\n    // Fill this with a tiny example while reviewing.\n}	greater than or equal to	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/05-operators/theory/02-comparison-logical-operators.md	/home/fhu_thjen/projects/learning-java/05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operators-aug-code-002	When reviewing `<=`, what should you prove with a tiny Java example?	// Concept: <=\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass ConceptReview {\n    // Fill this with a tiny example while reviewing.\n}	less than or equal to	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: /home/fhu_thjen/projects/learning-java/05-operators/theory/02-comparison-logical-operators.md	/home/fhu_thjen/projects/learning-java/05-operators/theory/02-comparison-logical-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operators-aug-code-003	When reviewing `What is an operator in Java?`, what should you prove with a tiny Java example?	// Concept: What is an operator in Java?\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass What_is_an_operator_in_JReview {\n    // Fill this with a tiny example while reviewing.\n}	An operator is a symbol or keyword that performs an operation on one or more operands and produces a result.	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: 05-operators/theory/01-arithmetic-assignment-operators.md	05-operators/theory/01-arithmetic-assignment-operators.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
operators-aug-code-004	When reviewing `What is an operand?`, what should you prove with a tiny Java example?	// Concept: What is an operand?\n// Task: explain the Java rule, the common mistake, and one concrete use case.\nclass What_is_an_operandReview {\n    // Fill this with a tiny example while reviewing.\n}	An operand is a value or expression that an operator acts on.	A useful review example should show the rule, one allowed use, and one mistake or limitation. Source: 05-operators/terms/01-operator-terms.md	05-operators/terms/01-operator-terms.md | https://docs.oracle.com/javase/tutorial/java/nutsandbolts/operators.html	java::core::operators java::code
