ID	Front	Back	Extra	Source	Tags
io-extra-001	Explain `File` deeply enough for review.	File is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:File is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `File` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-002	Explain `Create file` deeply enough for review.	Create file is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Create file is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Create file` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-003	Explain `Delete file` deeply enough for review.	Delete file is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Delete file is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Delete file` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-004	Explain `Check existence` deeply enough for review.	Check existence is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Check existence is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Check existence` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-005	Explain `Read file metadata` deeply enough for review.	Read file metadata is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Read file metadata is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Read file metadata` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-006	Explain `Create directory` deeply enough for review.	Create directory is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name.	Meaning:Create directory is a specific concept in IO in Java; learn its Java rule, valid use cases, and failure mode rather than only its name. Why it matters: Use it to predict the exact Java rule, the allowed form, and the failure mode. Review it with a tiny example instead of memorizing only the label. Example: When reading code, ask: what does `Create directory` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-007	Explain `InputStream` deeply enough for review.	A Stream is a pipeline for processing elements through lazy operations.	Meaning: A Stream is a pipeline for processing elements through lazy operations. Why it matters: It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution. Example: When reading code, ask: what does `InputStream` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-008	Explain `OutputStream` deeply enough for review.	A Stream is a pipeline for processing elements through lazy operations.	Meaning: A Stream is a pipeline for processing elements through lazy operations. Why it matters: It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution. Example: When reading code, ask: what does `OutputStream` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-009	Explain `FileInputStream` deeply enough for review.	A Stream is a pipeline for processing elements through lazy operations.	Meaning: A Stream is a pipeline for processing elements through lazy operations. Why it matters: It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution. Example: When reading code, ask: what does `FileInputStream` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
io-extra-010	Explain `FileOutputStream` deeply enough for review.	A Stream is a pipeline for processing elements through lazy operations.	Meaning: A Stream is a pipeline for processing elements through lazy operations. Why it matters: It matters because modern Java APIs use function-style pipelines heavily. A common confusion is forgetting which operations are lazy and which operation actually triggers execution. Example: When reading code, ask: what does `FileOutputStream` change, allow, reject, or clarify?	26-io/theory/01-file-concepts.md | https://docs.oracle.com/javase/tutorial/essential/io/	java::core::io
